in s,C1 in V,C2 in V
-7.50472E-04,3.335923E+00,5.874634E-03
-7.50456E-04,1.219072E+00,4.959106E-03
-7.50440E-04,1.794904E-01,8.316040E-03
-7.50424E-04,3.392151E-02,5.874634E-03
-7.50408E-04,2.263000E-02,4.348755E-03
-7.50392E-04,1.332214E-02,-3.433228E-03
-7.50376E-04,2.308777E-02,4.348755E-03
-7.50360E-04,1.683167E-02,1.907349E-03
-7.50344E-04,1.728943E-02,3.890991E-03
-7.50328E-04,1.820496E-02,9.841919E-03
-7.50312E-04,1.728943E-02,1.449585E-03
-7.50296E-04,2.171448E-02,6.790161E-03
-7.50280E-04,1.881531E-02,4.348755E-03
-7.50264E-04,2.018860E-02,4.959106E-03
-7.50248E-04,2.415588E-02,6.332397E-03
-7.50232E-04,2.126207E+00,2.975464E-03
-7.50216E-04,3.178148E+00,-2.517700E-03
-7.50200E-04,3.306169E+00,-5.340576E-04
-7.50184E-04,3.332567E+00,4.959106E-03
-7.50168E-04,3.324785E+00,8.773804E-03
-7.50152E-04,3.328599E+00,5.874634E-03
-7.50136E-04,3.331498E+00,2.975464E-03
-7.50120E-04,3.328599E+00,6.332397E-03
-7.50104E-04,3.333482E+00,1.167297E-02
-7.50088E-04,3.333482E+00,4.348755E-03
-7.50072E-04,3.333024E+00,7.400513E-03
-7.50056E-04,3.339433E+00,1.907349E-03
-7.50040E-04,3.335466E+00,8.316040E-03
-7.50024E-04,3.325242E+00,-9.918213E-04
-7.50008E-04,3.332567E+00,-5.874634E-03
-7.49992E-04,3.328141E+00,8.773804E-03
-7.49976E-04,3.334550E+00,9.918213E-04
-7.49960E-04,3.329057E+00,5.416870E-03
-7.49944E-04,3.331041E+00,2.975464E-03
-7.49928E-04,3.335466E+00,2.365112E-03
-7.49912E-04,3.329057E+00,1.029968E-02
-7.49896E-04,3.331041E+00,5.416870E-03
-7.49880E-04,3.329667E+00,1.319885E-02
-7.49864E-04,3.331041E+00,9.918213E-04
-7.49848E-04,3.331041E+00,1.121521E-02
-7.49832E-04,3.333482E+00,1.075745E-02
-7.49816E-04,3.325700E+00,7.858276E-03
-7.49800E-04,3.328141E+00,9.918213E-04
-7.49784E-04,3.329667E+00,5.416870E-03
-7.49768E-04,3.331041E+00,9.918213E-04
-7.49752E-04,3.331498E+00,6.332397E-03
-7.49736E-04,3.327226E+00,3.433228E-03
-7.49720E-04,3.332567E+00,4.348755E-03
-7.49704E-04,3.330125E+00,2.975464E-03
-7.49688E-04,3.333024E+00,5.416870E-03
-7.49672E-04,3.329057E+00,9.918213E-04
-7.49656E-04,3.326158E+00,-9.918213E-04
-7.49640E-04,3.335466E+00,3.890991E-03
-7.49624E-04,3.331041E+00,5.874634E-03
-7.49608E-04,3.333482E+00,1.449585E-03
