clk,re,en,rst,sig_label,current,e,spike,voltage
0,0,0,0,0,UUUUUUUUUUUUU,UUUUUUUUUUU,U,UUUUUUUUUUUUU
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,1,1,0,0,0001100100000,00000000000,0,0000000000000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,0,0000001010001
1,1,1,0,0,0001100100000,00000000000,0,0000001010001
0,1,1,0,0,0001100100000,00000000000,0,0000001010001
1,1,1,0,0,0001100100000,00000000000,0,0000001010001
0,1,1,0,0,0001100100000,00000000000,0,0000001010001
1,1,1,0,0,0001100100000,00000000000,0,0000001010001
0,1,1,0,0,0001100100000,00000000000,0,0000001011010
1,1,1,0,0,0001100100000,00000000000,0,0000001011010
0,1,1,0,0,0001100100000,00000000000,0,0000001011010
1,1,1,0,0,0001100100000,00000000000,0,0000001011010
0,1,1,0,0,0001100100000,00000000000,0,0000001011010
1,1,1,0,0,0001100100000,00000000000,0,0000001011010
0,1,1,0,0,0001100100000,00000000000,0,0000001100010
1,0,1,0,0,0001100100000,00000000000,0,0000001100010
0,0,1,0,0,0001100100000,00000000000,0,0000001100010
1,0,1,0,0,0001100100000,00000000000,0,0000001100010
0,0,1,0,0,0001100100000,00000000000,0,0000001100010
1,0,1,0,0,0001100100000,00000000000,0,0000001100010
0,0,1,0,0,0001100100000,00000000000,0,0000001101001
1,0,1,0,0,0001100100000,00000000000,0,0000001101001
0,0,1,0,0,0001100100000,00000000000,1,0101100100001
1,0,1,0,0,0001100100000,00000000000,1,0101100100001
0,0,1,0,0,0001100100000,00000000001,1,0101100100001
1,0,1,0,0,0001100100000,00000000001,1,0101100100001
0,0,1,0,0,0001100100000,00000000010,1,0101100100111
1,0,1,0,0,0001100100000,00000000010,1,0101100100111
0,0,1,0,0,0001100100000,00000000011,1,0101101001101
1,0,1,0,0,0001100100000,00000000011,1,0101101001101
0,0,1,0,0,0001100100000,00000000100,0,0000001000010
1,0,1,0,0,0001100100000,00000000100,0,0000001000010
0,0,1,0,0,0001100100000,00000000100,0,0000001000111
1,0,1,0,0,0001100100000,00000000100,0,0000001000111
0,0,1,0,0,0001100100000,00000000100,0,0000000111110
1,0,1,0,0,0001100100000,00000000100,0,0000000111110
0,0,1,0,0,0001100100000,00000000100,0,0000000101010
1,0,1,0,0,0001100100000,00000000100,0,0000000101010
0,0,1,0,0,0001100100000,00000000100,1,0101000110101
1,0,1,0,0,0001100100000,00000000100,1,0101000110101
