clk,re,en,rst,sig_label,current,e,spike,voltage
0,0,0,0,0,UUUUUUUUUUUUU,UUUUUUUUUUU,U,UUUUUUUUUUUUU
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
0,0,0,1,0,UUUUUUUUUUUUU,00000000000,0,0000000000000
1,1,1,0,0,0001100100000,00000000000,0,0000000000000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,1,0010101111000
1,1,1,0,0,0001100100000,00000000000,1,0010101111000
0,1,1,0,0,0001100100000,00000000000,0,1111111001110
1,1,1,0,0,0001100100000,00000000000,0,1111111001110
0,1,1,0,0,0001100100000,00000000000,0,1111111001110
1,1,1,0,0,0001100100000,00000000000,0,1111111001110
0,1,1,0,0,0001100100000,00000000000,0,1111111001110
1,1,1,0,0,0001100100000,00000000000,0,1111111001110
0,1,1,0,0,0001100100000,00000000000,0,1111111011001
1,1,1,0,0,0001100100000,00000000000,0,1111111011001
0,1,1,0,0,0001100100000,00000000000,0,1111111011001
1,1,1,0,0,0001100100000,00000000000,0,1111111011001
0,1,1,0,0,0001100100000,00000000000,0,1111111011001
1,1,1,0,0,0001100100000,00000000000,0,1111111011001
0,1,1,0,0,0001100100000,00000000000,0,1111111100010
1,0,1,0,0,0001100100000,00000000000,0,1111111100010
0,0,1,0,0,0001100100000,00000000000,0,1111111100010
1,0,1,0,0,0001100100000,00000000000,0,1111111100010
0,0,1,0,0,0001100100000,00000000000,0,1111111100010
1,0,1,0,0,0001100100000,00000000000,0,1111111100010
0,0,1,0,0,0001100100000,00000000000,0,1111111101010
1,0,1,0,0,0001100100000,00000000000,0,1111111101010
0,0,1,0,0,0001100100000,00000000000,1,0100000000011
1,0,1,0,0,0001100100000,00000000000,1,0100000000011
0,0,1,0,0,0001100100000,00000000001,1,0100000000011
1,0,1,0,0,0001100100000,00000000001,1,0100000000011
0,0,1,0,0,0001100100000,00000000010,1,0100000001010
1,0,1,0,0,0001100100000,00000000010,1,0100000001010
0,0,1,0,0,0001100100000,00000000011,1,0100000101110
1,0,1,0,0,0001100100000,00000000011,1,0100000101110
0,0,1,0,0,0001100100000,00000000100,0,1111110010111
1,0,1,0,0,0001100100000,00000000100,0,1111110010111
0,0,1,0,0,0001100100000,00000000100,0,1111110011110
1,0,1,0,0,0001100100000,00000000100,0,1111110011110
0,0,1,0,0,0001100100000,00000000100,0,1111110010101
1,0,1,0,0,0001100100000,00000000100,0,1111110010101
0,0,1,0,0,0001100100000,00000000100,0,1111101011001
1,0,1,0,0,0001100100000,00000000100,0,1111101011001
0,0,1,0,0,0001100100000,00000000100,1,0011000101110
1,0,1,0,0,0001100100000,00000000100,1,0011000101110
