VGS,leafValue( IS("/M1/D") "temperature" 100 ),leafValue( IS("/M1/D") "temperature" 100 ),leafValue( IS("/M2/D") "temperature" 100 ),leafValue( IS("/M1/D") "temperature" 27 ),leafValue( IS("/M0/D") "temperature" 27 ),leafValue( IS("/M2/D") "temperature" 27 )
0.000,1.004E-9,1.004E-9,267.1E-12,48.93E-12,35.28E-12,11.19E-12
24.00E-3,1.718E-9,1.718E-9,475.5E-12,93.44E-12,67.11E-12,20.42E-12
48.00E-3,2.937E-9,2.937E-9,846.5E-12,180.7E-12,129.8E-12,39.50E-12
72.00E-3,5.011E-9,5.011E-9,1.505E-9,351.3E-12,253.2E-12,78.89E-12
96.00E-3,8.528E-9,8.528E-9,2.671E-9,684.5E-12,495.6E-12,160.1E-12
120.0E-3,14.46E-9,14.46E-9,4.723E-9,1.334E-9,970.2E-12,327.0E-12
144.0E-3,24.41E-9,24.41E-9,8.309E-9,2.594E-9,1.896E-9,668.8E-12
168.0E-3,40.93E-9,40.93E-9,14.51E-9,5.025E-9,3.692E-9,1.365E-9
192.0E-3,68.08E-9,68.08E-9,25.13E-9,9.677E-9,7.144E-9,2.774E-9
216.0E-3,112.1E-9,112.1E-9,43.03E-9,18.48E-9,13.70E-9,5.595E-9
240.0E-3,182.3E-9,182.3E-9,72.67E-9,34.89E-9,25.96E-9,11.16E-9
264.0E-3,292.1E-9,292.1E-9,120.7E-9,64.83E-9,48.39E-9,21.93E-9
288.0E-3,460.0E-9,460.0E-9,196.8E-9,118.1E-9,88.29E-9,42.21E-9
312.0E-3,710.3E-9,710.3E-9,313.9E-9,209.5E-9,156.8E-9,79.14E-9
336.0E-3,1.073E-6,1.073E-6,488.9E-9,360.6E-9,269.8E-9,143.7E-9
360.0E-3,1.584E-6,1.584E-6,741.6E-9,599.6E-9,447.8E-9,251.5E-9
384.0E-3,2.280E-6,2.280E-6,1.094E-6,960.8E-9,715.8E-9,422.7E-9
408.0E-3,3.201E-6,3.201E-6,1.568E-6,1.483E-6,1.102E-6,681.6E-9
432.0E-3,4.380E-6,4.380E-6,2.184E-6,2.210E-6,1.636E-6,1.055E-6
456.0E-3,5.849E-6,5.849E-6,2.957E-6,3.185E-6,2.351E-6,1.571E-6
480.0E-3,7.629E-6,7.629E-6,3.903E-6,4.456E-6,3.279E-6,2.258E-6
504.0E-3,9.739E-6,9.739E-6,5.028E-6,6.068E-6,4.453E-6,3.141E-6
528.0E-3,12.19E-6,12.19E-6,6.338E-6,8.066E-6,5.902E-6,4.244E-6
552.0E-3,14.97E-6,14.97E-6,7.834E-6,10.48E-6,7.648E-6,5.583E-6
576.0E-3,18.10E-6,18.10E-6,9.513E-6,13.34E-6,9.706E-6,7.167E-6
600.0E-3,21.55E-6,21.55E-6,11.37E-6,16.66E-6,12.08E-6,8.996E-6
624.0E-3,25.32E-6,25.32E-6,13.40E-6,20.41E-6,14.76E-6,11.06E-6
648.0E-3,29.37E-6,29.37E-6,15.58E-6,24.60E-6,17.73E-6,13.36E-6
672.0E-3,33.70E-6,33.70E-6,17.92E-6,29.18E-6,20.98E-6,15.87E-6
696.0E-3,38.28E-6,38.28E-6,20.39E-6,34.12E-6,24.47E-6,18.56E-6
720.0E-3,43.08E-6,43.08E-6,22.99E-6,39.38E-6,28.17E-6,21.43E-6
744.0E-3,48.09E-6,48.09E-6,25.70E-6,44.93E-6,32.06E-6,24.46E-6
768.0E-3,53.28E-6,53.28E-6,28.52E-6,50.72E-6,36.12E-6,27.62E-6
792.0E-3,58.63E-6,58.63E-6,31.42E-6,56.72E-6,40.32E-6,30.90E-6
816.0E-3,64.12E-6,64.12E-6,34.42E-6,62.90E-6,44.64E-6,34.29E-6
840.0E-3,69.73E-6,69.73E-6,37.48E-6,69.23E-6,49.06E-6,37.77E-6
864.0E-3,75.46E-6,75.46E-6,40.61E-6,75.70E-6,53.56E-6,41.33E-6
888.0E-3,81.28E-6,81.28E-6,43.81E-6,82.27E-6,58.14E-6,44.96E-6
912.0E-3,87.18E-6,87.18E-6,47.05E-6,88.93E-6,62.78E-6,48.66E-6
936.0E-3,93.16E-6,93.16E-6,50.34E-6,95.67E-6,67.46E-6,52.40E-6
960.0E-3,99.20E-6,99.20E-6,53.67E-6,102.5E-6,72.19E-6,56.20E-6
984.0E-3,105.3E-6,105.3E-6,57.04E-6,109.3E-6,76.96E-6,60.03E-6
1.008,111.4E-6,111.4E-6,60.44E-6,116.2E-6,81.76E-6,63.90E-6
1.032,117.6E-6,117.6E-6,63.87E-6,123.2E-6,86.58E-6,67.81E-6
1.056,123.8E-6,123.8E-6,67.32E-6,130.1E-6,91.42E-6,71.73E-6
1.080,130.1E-6,130.1E-6,70.79E-6,137.1E-6,96.28E-6,75.68E-6
1.104,136.4E-6,136.4E-6,74.27E-6,144.1E-6,101.1E-6,79.64E-6
1.128,142.6E-6,142.6E-6,77.77E-6,151.2E-6,106.0E-6,83.62E-6
1.152,149.0E-6,149.0E-6,81.28E-6,158.2E-6,110.9E-6,87.62E-6
1.176,155.3E-6,155.3E-6,84.80E-6,165.3E-6,115.8E-6,91.62E-6
1.200,161.6E-6,161.6E-6,88.32E-6,172.3E-6,120.7E-6,95.62E-6
